AngularJS	angular=angularjs
OpenGLES	opengles
Q-learning	q-learning
Gulp.js	gulp=gulpjs
Verilog HDL	verilog hdl=verilog-hdl=verilog
CDH	cdh
LVS	lvs
Visual SLAM	visual slam
GLM	glm
Chatbot	chatbot
CDN	cdn
Erlang	erlang
ABAP	abap
PyTorch	pytorch
LLVM	llvm
Docker	docker
FreeRTOS	freertos
图像处理	图像处理
MySQL	mysql
Verilog	verilog
Pinterest	pinterest
SDN	sdn
React.js	react=reactjs
Ensemble learning	ensemble
RBM	rbm
ERWin	erwin
JSP	jsp
GMM	gmm
Microsoft Office	microsoft office=office=ms office
Code Review	code review
Apache	apache
Vulkan	vulkan
AR	ar
Nagios	nagios
HPC	hpc
SEM	sem
Keras	keras
SEO	seo
CNTK	cntk
Keil	keil
CFD	cfd
C#	c#=c sharp
Transact-SQL	transact sql=transactsql=transact-sql
KVM	kvm
C	c
Classification算法	classification
Greenplum	greenplum
Embedding	embedding
GNU	gnu
R	r
NoSQL	nosql
RDF	rdf
Boost	boost
人工智能	人工智能
Tornado	tornado
数据挖掘	ssas=data mining=text mining=数据挖掘
Clustering算法	clustering
TensorFlow	tensorflow=tensoflow=tensor flow
维特比算法	维特比算法=viterbi
XPath	xpath
EKF	ekf
HQL	hql
SLAM	slam
朴素贝叶斯分类法	naivebayes
CH	ch
SPSS Clementine	spss clementine
Apache Mesos	mesos
ISP	isp
ACL	acl
Delphi	delphi=object pascal
UKF算法	ukf
Adobe LR	lr
DIV	div
CUDA	cuda
SGD	sgd
SRILM	srilm
Python Web	python web
DataStage	datastage
Layout	layout
Listing	listing
Tacotron	tacotron
LSDSLAM算法	lsd-slam
Socket	socket
JVK	jvm
ActionScript	actionscript
Ada	ada
CATIA	catia
ITK	itk
Attention Model	attentionmodel=attention model=attention-model
ELK	elk
DL	dl
GPS	gps
WPF	wpf
OpenNI	openni
NumPy	numpy
Protel	protel
InDesign	indesign
Mask RCNN	mask-rcnn
Unreal	unreal
F#	f#
BGD	bgd
Lisp	lisp
SCADA	scada
WPS Office	wps
X-Accel	x-accel=accel-x
Spring MVC	spring mvc=springmvc
GraphLab	graphlab
OpenMP	openmp
RandomForest	random forest
Stata	stata
Visual Studio	visualstudio=vs=visual studio
Impala	impala
AES	aes
PCA	pca
Udesk	udesk
Linux	linux
UML	uml
MicroStrategy	microstrategy
贝叶斯算法	bayes
Netty	netty
PCL	pcl
Apache OpenNLP	apache opennlp=opennlp=apacheopennlp
MongoDB	mongo=mongdb=mangodb=mongodb
Qlik	qlik
MIPS	mips
Bagging	bagging
HTK	htk
WebRTC	webrtc
v-SLAM	v-slam=v slam=vslam
FineReport	finereport
Tomcat	tomcat
计算机视觉	机器视觉=computer vision
OpenStack	openstack
JSON	json
Spark MLlib	mllib=sparkmllib=spark mllib=mlib=spark ml
ASIC	asic
Scratch	scratch
Visual Basic	vb
JUnit	junit
UCOS	ucos
OKVIS	okvis
Mathematica	mathematica
ANSYS	ansys
Adobe After Effects	ae
Oracle	orcale=oralce
人脸识别	人脸识别
Adaboost	adaboost
Streaming	streaming
C++	c++=c+
NB-IoT	nb-iot
LightGBM	lightgbm
DMP	dmp
LiDAR	lidar
Reinforcement Learning	reinforcement learning
Microsoft Word	word
Teradata	teradata
Weka	weka
WebSocket	websocket
GBDT算法	gdbt
Apache Kudu	kudu
Aerosolve	aerosolve
Heritrix	heritrix
Kaldi	kaldi
XHTML	xhtml
Photoshop	ps=photoshop
AutoEncoder	autoencoder
OCR	ocr
Maven	maven
Caffee	caffee
Cassandra 	cassandra
DNN	dnn
PySpark	pyspark
Access	access
Hash	hash
MATLAB fft	fft
Minitab	minitab
PTAM	ptam
SIFT算法	sift
MBGD	mbgd
Bokeh	bokeh
Haskell	haskell
RESTful	restful
Faster RCNN	faster-rcnn=faster rcnn
DOM	dom
Microsoft Project	project
Solr	solr
IO	io
Eviews	eviews
CMS	cms
TOF	tof
决策树	决策树
CNC	cnc
Axure RP	axure rp=axurerp=axure
Swift	swift
WinForm	winform=window form
ENVI	envi
SolidWorks	solidworks
Kibana	kibana
FTP	ftp
SPSS Modeler	spss modeler
PySpider	pyspider
WebService	webservice
VTK	vtk
ParameterServer	parameter server
EtherCAT	ethercat
SCARA	scara
数据分析	数据分析
Phm	phm
RDBMS	rdbms
WFST	wfst
PHP	php
JSoup	jsoup
SPSS	spss=spass
DQN	dqn
ArcGIS	arcgis
SOA	soa
Adams	adams
Sass	sass
PLSA	plsa
RabbitMQ	mq=rabbitmq
Adobe Illustrator	ai=illustrator
Sphinx	sphinx
OpenCV	opencv
Django	django
PDCA	pdca
Apache Thrift	thrift
Analytics.js	analytics=analyticsjs
VSLAM	vslam
Dijkstra算法	dijkstra
OpenCL	opencl
EasyUI	easyui
Golang	golang=go
Unix	unix
导航算法	导航算法
K-Means	kmeans
SPC	spc
Apriori算法	apriori
Spring Boot	spring boot=springboot
Word Embedding	word embedding=word-embedding=wordembedding
Fortran	fortran
推荐算法	算法优化=推荐算法
Swarm	swarm
Sklearn	sklearn
RNN	rnn
Cafee	cafee
MDP	mdp
Microsoft Azure	azure
Oozie	oozie
Selenium	selenium
LBS	lbs
Less	less
Kernel	kernel
Ubuntu	ubuntu
DSP	dsp
DSO	dso
Matplotlib	matplotlib
Scrapy	scrapy
Hibernate	hibernate
GNSS	gnss
Octave	octave
Node.js	node=nodejs
Android	androidsdk=android
PKI	pki
Jenkins	jenkins
Kettle	kettle
JavaEE	java ee=javaee
CRF	crf
ROS	ros
Raft算法	raft
MES	mes
Caffe	caffe
CentOS	centos
ANN	ann
RPA	rpa
FFmpeg	ffmpeg
PLC	plc
LDA	lda
IPTV	iptv
MFC	mfc
TypeScript	typescript=ts
PLM	plm
R-CNN	r-cnn
TTS	tts
Neon	neon
Elasticsearch	elastic search=elasticsearch
Clementine	clementine
XGBoost	xgboost
QNX	qnx
Ruby	ruby
Framework	framework
ZigBee	zigbee
AOP	aop
CSS	css
WinCE	wince
Ceph	ceph
Scala	scala
OpenGL	opengl
VoIP	voip
GDAL	gdal
UART	uart
SSH	ssh
Redis	redis
SSM	ssm
Logo	logo
ORB-SLAM	orb-slam=orbslam=orb slam
Apache Mahout	mahout
GoogLeNet	googlenet
HTML5	html5
自然语言	自然语言
LAMP	lamp
Microsoft Excel	excel=execl=excle
MyEclipse	myeclipse
Origin	origin
APP	app
PACS	pacs
JavE	jave
PostgreSQL	postgresql
PBFT算法	pbft
Jquery	jquery
SQLite	sqlite
